공동	30
시골	3
적국	2
부대	3
상기	1
인혁당	1
풍조	1
효율	26
방법	8
일부	27
싸움터	1
남성	3
치중	2
중첩	4
축산	1
해결	95
사태	20
입법	6
경제민주주의	1
8월 23일	1
수출액	1
자문	1
실감	4
통상	5
얼	2
엄단	1
보고 싶다	1
부패	12
집행	20
차관	2
신경	4
업	1
성장세	2
배우자	1
봉쇄	3
기금	2
농업	11
도서	1
투자액	2
요망	2
농어	1
김일성	2
논쟁	2
선심	3
폭발	2
세라믹	1
개도국	2
기근	1
해체	4
재력	1
분당	1
무모	2
자기반성	1
관련국	1
분담	5
물리	1
국방력	4
지구촌	7
여	1
노조	6
파란	1
금자탑	4
박격포	1
연	5
전국	31
음식물 쓰레기	2
분단	23
경제면	5
열	3
전군	1
착공	1
해고	4
전방위	1
터널	7
손해	4
단말기	2
배반	1
적극	116
원단	1
연금	7
경술년	1
아시안 게임	1
침입	4
예	3
악습	1
시국	3
불능	1
성설	1
진흙	3
1970년대	3
벙어리	1
피폐	1
대덕연구개발특구	1
백방	1
이스라엘	1
외부	3
추석	1
구역	2
기기	1
부존자원	1
영어교육	1
편승	1
음식점	4
중공	2
자연재해	2
실천	55
12	1
개혁안	1
오	2
조사	13
19	32
문제 해결	5
세일즈	1
군사비	1
월스트리트 저널	1
올	1
재론	1
소홀	1
정치권력	1
평생	30
세기말	2
식구	1
옷	1
진흥	6
말엽	1
보금자리	2
영간	1
잘못	23
최적	1
기치	3
추세	8
최저	3
핵과	1
20	1
북편	1
긴급	4
그때	9
장률	3
시범단	1
홀리데이	1
낯선	2
조상	7
실체	1
경제구조	1
남해안	4
대륙	2
부도	5
맹서	2
양립	4
21세기	94
개방경제	1
정보통신	10
문명	2
하나	6
품질	7
과도	1
머리	5
솔선수범	6
중국	30
특수	4
민심	2
점검	5
마을	1
사업가	1
소방관	2
필리핀	1
비방	2
오점	3
오전	1
노태우	2
동행자	1
주최국	1
공적자금	1
정감	1
지로	1
다복	3
중궁	1
핵무기	3
원심력	1
의심	8
당면	19
방법론	1
출산	9
헌신	39
축소	6
세상	9
마음	95
자발	10
신국	1
욕	1
극한	1
소회	1
바이러스	1
의식	37
잠재력	11
영종도	1
등불	1
성공리	3
79년	1
조선	15
모아나	1
박관용	1
용	3
대립	12
신축	3
정착	42
가트	1
온누리	1
가능	46
우	4
거북선	1
최종	2
감내	3
불량자	6
전기	22
수업	3
빅뱅	1
유지	42
나가야	19
대통령 선거	5
